reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
e35f5f2c-3d79-41cb-b86e-668b298ac752,Getu Tadu,https://play-lh.googleusercontent.com/a/ACg8ocLQ4Mr5izC3frwvT0tdxEJ0uHzmH-cbl7N8nu0n5OD8eghiaA=mo,naa dalaguu didee mee naa lalaa,5,0,,2025-09-03 21:28:20,,,
e8a2c9d0-7df7-4104-abb1-bbd57d7d6249,Nasri Mohammed Ali NARI,https://play-lh.googleusercontent.com/a-/ALV-UjUldaprlUPrw_7O9ug0Gd7zOhqUQ7aXjZ-NmvmB6I6fMLaIhNA,like,5,0,,2025-09-03 19:47:54,,,
0b31adfb-9067-4259-b6b9-d03e261c96c6,Yohannis Girma,https://play-lh.googleusercontent.com/a/ACg8ocLOZTimIo43HBT_d9czprZnvIUNyjJhlzyAR93VFszFchqB4Q=mo,good,5,0,1.1.0,2025-09-03 12:46:07,,,1.1.0
c5524542-9c5e-4acd-aa15-81db4a27499e,mulgeta seifu,https://play-lh.googleusercontent.com/a-/ALV-UjWoArfwylojQ9JwmEJk4XvEL5GO0Tk5kna1wEljO-oKitO53iI,the best bank which is reliable,5,0,,2025-09-03 12:35:54,,,
496114fe-8008-41dc-8582-94d7a950991d,TAKUME TAREKEGN,https://play-lh.googleusercontent.com/a-/ALV-UjXjFdxa3qayEWIHiR4DGZx6RKpddf6m_ujORIcur3ms0H7g19fw,reliable app and easy to use and clear.,5,77,1.1.1,2025-09-03 04:50:08,,,1.1.1
95eb589a-ff74-4118-a4ac-acb4f1f2e6b8,Tilahun T,https://play-lh.googleusercontent.com/a/ACg8ocLFE0PHn_3-kzTv0kMmpIdUicOgGOmhiaX2vVdDQqZvhCtwmG8=mo,okay 👍 👌,2,0,1.1.0,2025-09-02 13:59:48,,,1.1.0
e5926114-8206-4dde-9cdb-51108a8f8b16,gebermedhin worku,https://play-lh.googleusercontent.com/a-/ALV-UjUph3ZCEgBXrcys_Gs4usWQAdrCQ7kVRe3IeKIQD2hxyoa_P1c,all system Excellent. keep it !!,5,8,1.1.1,2025-09-02 11:50:22,,,1.1.1
ac42cec1-4751-4512-baaf-567cc005846c,Ismael Yakub,https://play-lh.googleusercontent.com/a/ACg8ocJ5M9JBDZe1WfC90wvKU4HFg-WAVbb8IQhU6GM4zhKaoFDXsw=mo,Good app@!!!,5,0,1.1.0,2025-09-02 11:27:00,,,1.1.0
c37893f2-d1ee-4ac4-84e0-0849d01474a6,ziyad heyru,https://play-lh.googleusercontent.com/a/ACg8ocJytsAYHDTKEveYP3cmJ4s8vbkHynPdENdHGB1mR9tCB7j90A=mo,awash,1,0,1.1.0,2025-09-01 21:28:23,,,1.1.0
21b1376f-3689-4435-9033-5e9a9473d766,Sonporogno,https://play-lh.googleusercontent.com/a-/ALV-UjXC4vEpyU8HKfPoEQmFPbU9fsQyofhV-B3rnjTkbELSNfGovXVb,why doesn't have fuel payement,4,1,1.1.1,2025-09-01 13:32:20,,,1.1.1
35057636-05e7-48cc-aeba-072bdc87292f,Simon fikru,https://play-lh.googleusercontent.com/a-/ALV-UjXJYnjIUc9m99U1qtvmzTlHSXNeo5z-fYG1rtPBoseKWUgHo1h2,you app is vary slow to download i check network but it's not network problem,1,1,,2025-09-01 12:15:01,,,
271695e0-3750-4d89-af08-eede9d7675fa,Yohannes Teklemariam,https://play-lh.googleusercontent.com/a-/ALV-UjWNYdcTmHprd_uVsz-ULAduHjMGkwbDoOJBgz8Wi-mjcipODmHT,best banking application but the new update is not working on my device it says it's not compatible with your device please do something.,3,7,1.1.0,2025-09-01 10:06:24,,,1.1.0
32a88479-49ee-4239-b9e0-115b02993fbd,Aklilu Melese,https://play-lh.googleusercontent.com/a-/ALV-UjWB23u6PULQr-aZdQfpNE_qGXU3Sye5pJOfPdBR2NOqZaQjTv4C,good,5,0,,2025-09-01 03:06:54,,,
200cb12b-78a5-4497-818b-78fd402303ea,Ararso Mohammed,https://play-lh.googleusercontent.com/a-/ALV-UjX3KB7rSgWfzwygfzEnyfm2dK2q5Ehd6rb8WXg-y-2dpnODqyIm,this awash birr pro application is good app for us and security,4,1,1.1.0,2025-08-31 18:37:37,,,1.1.0
6e1a1150-1c6c-4607-9532-5842147266de,Asna Tijani,https://play-lh.googleusercontent.com/a/ACg8ocKpsrOesdYg6shx7OyZsAPM9WbHXE0YytICD27AeYg35HI3Sw=mo,difficult to update,1,2,1.1.0,2025-08-31 18:09:00,,,1.1.0
cb36f4c4-83e3-4c76-9cb6-bdd061ff3bc7,Abinet Haile,https://play-lh.googleusercontent.com/a-/ALV-UjUbfxHlvsQhhfYm7ip7bHtHy7YE17ze8nIMZUsylZiyofK2RVXw,"Easy to use the app,Fast Transaction and 24/7 active network 🛜",5,3,,2025-08-31 14:10:51,,,
c5cd7fa3-aaf7-44e7-ae2f-27f5c3e3b278,Kassaw Beshaw,https://play-lh.googleusercontent.com/a-/ALV-UjXQBHHtbAnym5nKmNFAa0W70IwdGl3kFESEgVdQGPUyRsaakRU,very nice to use it for many purpose!!! I highly recommend it for all Awash Bank customers. Thanks a lot for it!!!!,5,268,1.1.1,2025-08-30 20:11:44,,,1.1.1
c89785a5-546d-4526-b5d2-b1a4fc6347fb,Abdulfeta Tenkir,https://play-lh.googleusercontent.com/a-/ALV-UjU_L4sH5ZnQG9f-RbTbPj0dhZrTQq5aXETk6q_yjCpwcXY7P6VQ,user friendly app…,5,0,1.1.1,2025-08-30 16:49:43,,,1.1.1
f485b33c-4954-4fd7-b77e-d7c86e325bca,abdu awol,https://play-lh.googleusercontent.com/a/ACg8ocIg3fVBVs4OgjNrHa1jnVarDpbpMVRe__xgL_Na8bcdF6DQPg=mo,that is not fair ihave transfer but your cut balance,1,1,1.1.0,2025-08-30 16:28:57,,,1.1.0
aa8ce840-79bd-4ece-905b-e2297bf207af,Car&property Sale,https://play-lh.googleusercontent.com/a-/ALV-UjVglcAW58_cKsMWPf0u3fgAb9ndSxmjosXImolC-DtGAn9eWVlJ,excellent,5,0,1.1.0,2025-08-30 11:17:04,,,1.1.0
cc3829cf-9507-47d1-b5b4-8e1375ca458a,Talala Mohammed,https://play-lh.googleusercontent.com/a/ACg8ocIBUpAitOZx1lwOwO-vmwoZab_jNUFmuP4ykdUVK3R5UTJ8kQ=mo,this app is evrybay choise day to day useing thing,5,0,1.1.0,2025-08-29 22:46:08,,,1.1.0
0af61039-30f4-471b-8ccb-8156883ac146,Anuwar Mohamed,https://play-lh.googleusercontent.com/a-/ALV-UjWAhzLWzbbGBC4_BMyolwgcFPK1J52YZMIrnigzQ83RUr7O__UX,Hydraulics engineer,4,0,1.1.0,2025-08-29 22:04:38,,,1.1.0
a67f2acc-4cb8-4964-9119-44b4532cb0ac,Dr. Mezgebu Alemnah Asefa (Myco),https://play-lh.googleusercontent.com/a-/ALV-UjUQxo6sN9UAeuQl1z3jrzYIVsT98O1Qi_C8-68KB55aXzsA-Zol,The best app i have ever used. It is very user friendly.,5,1,1.1.1,2025-08-29 21:36:30,,,1.1.1
b3f27cea-5b3e-4c4f-a310-4da3147e452c,Wendatir Tesfaye,https://play-lh.googleusercontent.com/a-/ALV-UjUsR2IMNd_eLta_CNWSovDKm6hxmIBbV6QGueZIWSfJ_UySRyo,ጥሩ ነው ግን አዲስ ሂሳብ በራስ መክፈት በሚቻልበት ደረጃ ብታዘምኑ እጅግ በጣም አሪፍ ይሆን ነበር,4,0,1.1.1,2025-08-29 20:39:13,,,1.1.1
19fd97bf-a669-4e85-9a0e-9feeff0b1ee1,Abnet mustefa,https://play-lh.googleusercontent.com/a/ACg8ocKtWja_cf_Ko3VFx3k3-fE4reTcizncPnWkbEwDSYCoML6Yjg=mo,good,5,0,1.1.0,2025-08-29 19:31:05,,,1.1.0
b07dc62f-9484-40ae-b3ea-a77ba5a900b0,Bura Fornew,https://play-lh.googleusercontent.com/a/ACg8ocLzfp1ou9bgaTbXICuBiKR_I5mPcLtrZdzTrHS5U3EM_7DRBA=mo,really i love it,5,0,,2025-08-29 17:21:43,,,
56341d93-af91-4345-9820-1a83d898f21a,Sisay Sisay,https://play-lh.googleusercontent.com/a-/ALV-UjXkdDZmy2u-d0qgWqaiE5_5kBnwwdbwDTDPaD473fLlAavusDk,good,5,0,,2025-08-29 16:56:15,,,
bf984192-18cd-451a-a386-76919593af45,Keriyate Rahimeto,https://play-lh.googleusercontent.com/a/ACg8ocKxR9ILpgIlE_nVrHghQQie7hB_wRSV_FmoKtdNJtJgagoYXw=mo,exellent service thankyou!!!!,5,0,1.1.0,2025-08-29 16:04:27,,,1.1.0
c74207b6-5349-42bc-aac8-cba14554f3e6,Hadgu Niguss,https://play-lh.googleusercontent.com/a-/ALV-UjXAyDemIo_3JV1hDamisbMp1HcMCnIkKyF0JvuxJCXe-6UlSXA,greate app,5,0,1.1.0,2025-08-29 15:33:03,,,1.1.0
9b6bb613-c19d-4d4e-ab51-5eb819784531,Daniel Jalamo,https://play-lh.googleusercontent.com/a-/ALV-UjXEtwCmtwC1T2CERCqDRIoCmVivU5uVRxHEZCFXuXJmsuErmfC1,i have used most of in your compan,5,0,1.1.1,2025-08-29 15:22:18,,,1.1.1
0e8490b1-a84b-44f8-b0a2-a9ba685df43a,Sebah Degu,https://play-lh.googleusercontent.com/a/ACg8ocIXz4Ayf0vmIlc5ZJorNtVUbRvqVstMSbZ2-9g2CVbMUaNwyQ=mo,HaderaSebah,5,0,,2025-08-29 14:47:45,,,
52687d62-ce8a-4bff-87d1-4d9bf9a6b2a2,Hawaria Getahun,https://play-lh.googleusercontent.com/a-/ALV-UjUvdUDB37yH9m9Kmbj0IEPYU6vjTPhQVmVyLcQBBYWykMxTYQ8,Alright branch service first,5,0,1.1.1,2025-08-29 14:36:34,,,1.1.1
5cd85230-b9d1-4d31-90c4-8f5210397bda,Yusuf Mamud,https://play-lh.googleusercontent.com/a-/ALV-UjUVeUWzorSay7bhVYYoKq93Jga6Pfp21yiw3074qGN9WC39c5YL,nice job,5,0,1.1.1,2025-08-29 02:03:18,,,1.1.1
13421215-1920-42a0-bdab-b3808b3661ed,Mohamed Abdi omar,https://play-lh.googleusercontent.com/a-/ALV-UjXtFmbf1JRuA9b5k6R9vN9ws1pkN9UXgrr2tDb-9gNJ1fMi-Y8,SUBSCRIBE,5,0,,2025-08-28 19:47:45,,,
33ff04f1-0fad-40a8-b301-76a8eb06f7f3,araya Shiferaw,https://play-lh.googleusercontent.com/a-/ALV-UjWilhFxJ6K48-p0G2AGysE1_OKtzO2mr02YKhsi3hVf39M2u2kT,interesting,5,0,1.1.0,2025-08-26 15:47:06,,,1.1.0
6813a5cf-b090-402b-ba49-85dfea171830,Chala Gude,https://play-lh.googleusercontent.com/a/ACg8ocJ5Wsnsm0pEV9J7QvvGF65bvDZazB7dioEvPt4FiwxFnuBI9w=mo,not good I can't load it,3,0,1.0.4,2025-08-24 15:36:55,,,1.0.4
5dfe1ea4-a145-438c-b340-6ccda814caaa,Sabona Nuradin,https://play-lh.googleusercontent.com/a-/ALV-UjXY2pwNJqMW3nYSGJU4AJt__Tdc7VIngqRexA9BPGu2tOdVTFs,all of time 📈,5,0,1.1.0,2025-08-24 09:27:51,,,1.1.0
6fb5fee4-8445-4cc4-8a7d-d683251ede4c,Aditya Shukri,https://play-lh.googleusercontent.com/a-/ALV-UjVZouRSGouUL7Ash4KI9eH2t4GkZwnDYoHaxJ-gyiw64xDXPMA,good👍,5,0,1.1.0,2025-08-23 19:42:26,,,1.1.0
1f1e4331-afa4-4c11-b531-8e2f2c9fd044,Wondoseen Mengistu,https://play-lh.googleusercontent.com/a/ACg8ocKhZrW2qsE-Hr9hfCL8phtRHpL1SBl-ZvCqYCLQa2l6SFOR0A=mo,easy to use features,5,4,1.1.0,2025-08-22 17:37:35,,,1.1.0
