review,rating,date,bank,source
but kobo town water bill payment is not included,5,2026-05-16,Awash Bank,Google Play
Bad application,1,2026-05-16,Awash Bank,Google Play
good app 👍,5,2026-05-15,Awash Bank,Google Play
good,5,2026-05-14,Awash Bank,Google Play
"This app is the best to use. thank you! comment while using the Scan QR option on Awashbirr pro, there is no option to select a QR code image from my gallery. Other banking apps provide this functionality. If there were an option to upload a QR code from the gallery, I would be able to make payments remotely using QR images. Also, how can I generate my account QR code to share with other people so they can make payments to my account?",5,2026-05-13,Awash Bank,Google Play
tajaajila torban tokko osoo hinkenniin network error jedha.Rakkoo kana furuuf irraatti hojjadha.,2,2026-05-13,Awash Bank,Google Play
it's good,5,2026-05-12,Awash Bank,Google Play
happy,5,2026-05-10,Awash Bank,Google Play
nice,5,2026-05-09,Awash Bank,Google Play
Nice one,5,2026-05-09,Awash Bank,Google Play
best finance ever,5,2026-05-07,Awash Bank,Google Play
credit serebes Problem,5,2026-05-07,Awash Bank,Google Play
best mobile banking app ever in Ethiopia. I love your advice receipt 🥰🥰🥰,4,2026-05-05,Awash Bank,Google Play
tickst is not coming to me,5,2026-05-05,Awash Bank,Google Play
this app is very good and easy for use,5,2026-05-02,Awash Bank,Google Play
wow i'm happy to use awash app pro,5,2026-05-02,Awash Bank,Google Play
very nice really appreciated,5,2026-05-01,Awash Bank,Google Play
i like this apps,5,2026-04-30,Awash Bank,Google Play
one step up,5,2026-04-30,Awash Bank,Google Play
i wish it coud better,1,2026-04-29,Awash Bank,Google Play
Best,5,2026-04-29,Awash Bank,Google Play
perfect,5,2026-04-29,Awash Bank,Google Play
Transfering to other bank and telebirr and MPESA option is not working.,5,2026-04-25,Awash Bank,Google Play
smart upp,5,2026-04-24,Awash Bank,Google Play
I like this easily to use!!,5,2026-04-23,Awash Bank,Google Play
its cool,5,2026-04-20,Awash Bank,Google Play
Baankiin Awaash filannookoo yeroo hundaati naaf jiraadhaa,5,2026-04-19,Awash Bank,Google Play
The fastest and safest mobile banking I just love your service. Thank you,5,2026-04-17,Awash Bank,Google Play
this app no works a30s phone no work this app rm gb 8rm only works why please update this app,5,2026-04-16,Awash Bank,Google Play
It's a better app compared to other financial apps,4,2026-04-16,Awash Bank,Google Play
good,5,2026-04-15,Awash Bank,Google Play
good service,1,2026-04-14,Awash Bank,Google Play
app doesn't open frozen,1,2026-04-14,Awash Bank,Google Play
Good!,5,2026-04-12,Awash Bank,Google Play
ever best bank,5,2026-04-12,Awash Bank,Google Play
💪💪💐⚖️⚖️⚖️,5,2026-04-12,Awash Bank,Google Play
my account was blocked with no reason I don't understand what's going on I contacted with a phone call with the head office why my account is blocked,1,2026-04-12,Awash Bank,Google Play
cool,5,2026-04-11,Awash Bank,Google Play
fast and nice app🥰🥰,5,2026-04-10,Awash Bank,Google Play
wow,5,2026-04-10,Awash Bank,Google Play
